,codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
0,901008,,22,-23.006637,-43.311798,1690387196000,12.3,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],22896.4,279
1,901011,RIV8A74,22,-23.000967,-43.366375,1690381489000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],23593.3, 
2,901018,,51,-23.000075,-43.356425,1690230262000,48.3,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2502.1,95
3,901012,,22,-23.000595,-43.366171,1690386820000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21402.2,87
4,901014,,22,-23.00059,-43.365069,1690379338000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],35722.1,89
5,901007,,22,-22.96502,-43.391056,1690385777000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21891.5, 
6,901009,,22,-23.000924,-43.367162,1690386301000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],20957.1, 
7,901013,,22,-23.006689,-43.31451,1690385036000,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],31666.8, 
8,901010,RJM8G30,22,-23.006697,-43.313577,1690384247000,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],22930.1, 
9,901015,,51,-22.965077,-43.391298,1690384023000,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],14154.7, 
10,901047,,53,-22.883837,-43.399631,1690381055000,0.0,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],45411.5,143
11,901017,,22,-23.006622,-43.314127,1690373786000,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],25184.0,95
12,901063,,51,-22.964869,-43.391663,1690383226000,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],48950.2,65
13,901006,RJA9F56,22,-23.000988,-43.365492,1690387075000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],19485.4,269
14,901005,RJB8E53,22,-22.999957,-43.35999,1690387186000,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],21755.7,281
15,901004,RJQ8J80,22,-23.000613,-43.334929,1690387194000,13.6,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21537.9,90
16,902095,,35,-22.842676,-43.253896,1690069081000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7511.5, 
17,30504,,0,-23.002814,-43.366124,1690387184000,0.0,,,,53794.6, 
18,47031,KYW5240,25,-23.00091,-43.365045,1690385874000,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],51063.6,138
19,30533,KWO8120,0,-22.920198,-43.608146,1690381585000,0.0,,,,52733.1,171
20,47027,KRR2119,20,-22.933893,-43.669347,1689714615000,53.7,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],1004.1,309
21,86840,KOS9769,13,-22.919551,-43.607877,1682053295000,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],778.8, 
22,30538,KXE7719,12,-23.000523,-43.388815,1690387195000,18.2,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],56081.8,91
23,13412,KPY9734,0,-22.965162,-43.391705,1690384628000,0.0,,,,44901.0, 
